,Job Title,Company,Location,Experience,Salary,Link
0,Data Science Intern,Neozeno Talent Llp,Remote,,"15,000/month",https://www.naukri.com/job-listings-data-science-intern-neozeno-talent-llp-chennai-0-to-1-years-241025027817
1,Data Analyst Intern,Voylla,Jaipur,0-1 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-intern-voylla-fashions-private-limited-jaipur-0-to-1-years-251125909343
2,Data Analytics Intern,Reliance Games,Pune,0-1 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analytics-intern-reliance-games-pune-0-to-1-years-170622500701
3,Data Science Intern,Cyfotok,Coimbatore,,Unpaid,https://www.naukri.com/job-listings-data-science-intern-cyfotok-coimbatore-0-to-4-years-280825503310
4,Data Analyst,Also Energy,"Noida, Gurugram, Delhi / NCR",0-2 Yrs,4-5 Lacs PA,https://www.naukri.com/job-listings-data-analyst-also-energy-noida-gurugram-delhi-ncr-0-to-2-years-261125035687
5,Data Analyst / Web Researcher,Myvirtualdesks,Pune,0-3 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-web-researcher-myvirtualdesks-pune-0-to-3-years-311023502433
6,Data Analyst,Digital Solution Tech,Remote,0-3 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-digital-solution-tech-remote-0-to-3-years-191125503482
7,Data Analyst,Teplar Solutions,Coimbatore,0-4 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-teplar-solutions-coimbatore-0-to-4-years-310320500022
8,Business Analyst,Mindfire,New Delhi,0-3 Yrs,Not Disclosed,https://www.naukri.com/job-listings-business-analyst-mindfire-solutions-new-delhi-0-to-3-years-011025503254
9,Data Analyst/Sr. Data Analyst,TrizTeck Knowledge Solutions LLC,New Delhi(Greater Kailash 1),0-5 Yrs,2.5-7.5 Lacs PA,https://www.naukri.com/job-listings-data-analyst-sr-data-analyst-trizteck-knowledge-solutions-llc-new-delhi-0-to-5-years-051225025905
10,Hiring Freshers For Data Engineer Role - Pune Location,Savantis Solutions India,Pune,0-1 Yrs,Not Disclosed,https://www.naukri.com/job-listings-hiring-freshers-for-data-engineer-role-pune-location-savantis-solutions-india-pune-0-to-1-years-261125034521
11,Data Researcher,Triveni Interchem,Vapi,0-3 Yrs,2.5-3.5 Lacs PA,https://www.naukri.com/job-listings-data-researcher-triveni-interchem-pvt-ltd-vapi-0-to-3-years-041225028097
12,Analyst - Network Design (Transportation/ SCM),Delhivery,Gurugram,0-3 Yrs,7-9.5 Lacs PA,https://www.naukri.com/job-listings-analyst-network-design-transportation-scm-delhivery-gurugram-0-to-3-years-011225005444
