Job Title,Company,Location,Experience,Salary,Link
Data Science Intern,Neozeno Talent Llp,Remote,N/A,"15,000/month",https://www.naukri.com/job-listings-data-science-intern-neozeno-talent-llp-chennai-0-to-1-years-241025027817
Data Analyst Intern,Voylla,Jaipur,0-1 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-intern-voylla-fashions-private-limited-jaipur-0-to-1-years-251125909343
Data Analytics Intern,Reliance Games,Pune,0-1 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analytics-intern-reliance-games-pune-0-to-1-years-170622500701
Data Science Intern,Cyfotok,Coimbatore,N/A,Unpaid,https://www.naukri.com/job-listings-data-science-intern-cyfotok-coimbatore-0-to-4-years-280825503310
Data Analyst,Also Energy,"Noida, Gurugram, Delhi / NCR",0-2 Yrs,4-5 Lacs PA,https://www.naukri.com/job-listings-data-analyst-also-energy-noida-gurugram-delhi-ncr-0-to-2-years-261125035687
Data Analyst / Web Researcher,Myvirtualdesks,Pune,0-3 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-web-researcher-myvirtualdesks-pune-0-to-3-years-311023502433
Data Analyst,Digital Solution Tech,Remote,0-3 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-digital-solution-tech-remote-0-to-3-years-191125503482
Data Analyst,Teplar Solutions,Coimbatore,0-4 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-teplar-solutions-coimbatore-0-to-4-years-310320500022
Business Analyst,Mindfire,New Delhi,0-3 Yrs,Not Disclosed,https://www.naukri.com/job-listings-business-analyst-mindfire-solutions-new-delhi-0-to-3-years-011025503254
Data Analyst/Sr. Data Analyst,TrizTeck Knowledge Solutions LLC,New Delhi(Greater Kailash 1),0-5 Yrs,2.5-7.5 Lacs PA,https://www.naukri.com/job-listings-data-analyst-sr-data-analyst-trizteck-knowledge-solutions-llc-new-delhi-0-to-5-years-051225025905
Hiring Freshers For Data Engineer Role - Pune Location,Savantis Solutions India,Pune,0-1 Yrs,Not Disclosed,https://www.naukri.com/job-listings-hiring-freshers-for-data-engineer-role-pune-location-savantis-solutions-india-pune-0-to-1-years-261125034521
Data Researcher,Triveni Interchem,Vapi,0-3 Yrs,2.5-3.5 Lacs PA,https://www.naukri.com/job-listings-data-researcher-triveni-interchem-pvt-ltd-vapi-0-to-3-years-041225028097
Analyst - Network Design (Transportation/ SCM),Delhivery,Gurugram,0-3 Yrs,7-9.5 Lacs PA,https://www.naukri.com/job-listings-analyst-network-design-transportation-scm-delhivery-gurugram-0-to-3-years-011225005444
Data Analytics Intern,Zerovaega Technologies,Kolhapur,N/A,Unpaid,https://www.naukri.com/job-listings-data-analytics-intern-zerovaega-technologies-kolhapur-0-to-2-years-301025503884
Project Success Executive,Kauvery Hospital,Chennai(Alwarpet),0-3 Yrs,Not Disclosed,https://www.naukri.com/job-listings-project-success-executive-kauvery-hospital-chennai-0-to-3-years-121125019300
GN-IC-Comms and Media-B2B Growth-Consultant,Accenture,Gurugram,0 Yrs,Not Disclosed,https://www.naukri.com/job-listings-gn-ic-comms-and-media-b2b-growth-consultant-accenture-solutions-pvt-ltd-gurugram-0-to-0-years-101125927085
GN-IC-Comms and Media-B2B Growth-Analyst,Accenture,Bengaluru,0 Yrs,Not Disclosed,https://www.naukri.com/job-listings-gn-ic-comms-and-media-b2b-growth-analyst-accenture-solutions-pvt-ltd-bengaluru-0-to-0-years-101125921079
Associate Business Analyst,Right Step Consulting,Gurgaon,0-3 Yrs,Not Disclosed,https://www.naukri.com/job-listings-associate-business-analyst-right-step-consulting-private-limited-gurgaon-0-to-3-years-231019500878
Intern - Business Data Analyst,Jodo,Bengaluru,N/A,Unpaid,https://www.naukri.com/job-listings-intern-business-data-analyst-jodopay-com-bengaluru-0-to-1-years-151025501755
MIS Executive,EKI Energy Services,Indore,0-1 Yrs,Not Disclosed,https://www.naukri.com/job-listings-mis-executive-eki-energy-services-indore-0-to-1-years-271125500933
S&C GN - Data&AI - Resources -  Analyst,Accenture,Bengaluru,4-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-s-c-gn-data-ai-resources-analyst-accenture-solutions-pvt-ltd-bengaluru-4-to-8-years-011225932591
Data Scientist ( Commercial),Amgen Inc,Hyderabad,4-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-commercial-amgen-inc-hyderabad-4-to-8-years-091225915496
Data Scientist (Commercial),Amgen Inc,Hyderabad,3-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-commercial-amgen-inc-hyderabad-3-to-5-years-091225911402
Commercial Data Intelligence Analyst,Aveva,"Hyderabad, Bengaluru",4-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-commercial-data-intelligence-analyst-aveva-solutions-india-llp-hyderabad-bengaluru-4-to-7-years-031225929491
Cloud Leader- Data Analyst,Niveus Solution,"Mangaluru, Udupi",8-12 Yrs,Not Disclosed,https://www.naukri.com/job-listings-cloud-leader-data-analyst-jobaaj-a-unit-of-nishtya-infotech-mangaluru-udupi-8-to-12-years-261125014589
Data Analyst,Convegenius Edu,Jaipur,0-3 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-convegenius-edu-solutions-pvt-ltd-jaipur-0-to-3-years-220925505034
Data Analyst I,A D Patel Institute of Technology (ADIT),Ahmedabad,2-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-i-adit-ahmedabad-2-to-8-years-190825501267
S&C GN - Data&AI - Resources - Analyst,Accenture,Bengaluru,4-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-s-c-gn-data-ai-resources-analyst-accenture-solutions-pvt-ltd-bengaluru-4-to-8-years-171125926560
IN | Data Analyst,Leading Client,India,2-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-in-data-analyst-growel-softech-pvt-ltd-india-2-to-5-years-121125923537
Data Analyst,NCR Atleos,"Mumbai, Gurugram",4-6 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-ncr-atleos-mumbai-gurugram-4-to-6-years-311025501933
Data Analyst,Yocreativ,Gurugram,1-3 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-yocreativ-gurugram-1-to-3-years-290725501993
Data Analyst,Sfour Media,Pune,1-3 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-sfour-media-private-limited-pune-1-to-3-years-280725500776
Data Analyst,Socialion Media,Navi Mumbai,1-6 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-socialion-media-navi-mumbai-1-to-6-years-250625502174
Data Analyst,Cloudtara Technologies,Bengaluru,1-3 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-cloudtara-technologies-bengaluru-1-to-3-years-230925503901
ML Engineer / Data Scientist,Spotflock Technologies,Rangareddy,2-4 Yrs,Not Disclosed,https://www.naukri.com/job-listings-ml-engineer-data-scientist-spotflock-technologies-pvt-ltd-rangareddy-2-to-4-years-170724502600
Data Analyst,Political Sampark,New Delhi,5-9 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-political-sampark-new-delhi-5-to-9-years-141125504099
Data Analyst - YouAppi,Affle,"Gurugram, Bengaluru",2-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-youappi-affle-gurugram-bengaluru-2-to-5-years-130525504502
Data Scientist/ ML Engineer,Alpha Ai,Noida,2-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-ml-engineer-alphaa-ai-noida-2-to-7-years-100125503258
Data Scientist,Collective S,Hyderabad,3-6 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-collective-s-hyderabad-3-to-6-years-091225019626
Data Scientist,Pepsico,"Hyderabad, Gurugram",3-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-pepsico-global-business-services-india-llp-hyderabad-gurugram-3-to-8-years-041225931903
Data Scientist,Edgevertise Service,"Lucknow, Banda",2-6 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-edgevertise-service-lucknow-banda-2-to-6-years-191125504568
Risk & Finance Data Engineer,Capgemini,Gurugram,4-9 Yrs,Not Disclosed,https://www.naukri.com/job-listings-risk-finance-data-engineer-capgemini-technology-services-india-limited-gurugram-4-to-9-years-171125920038
Data Scientist,Esp Consultant,Mumbai,3-6 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-esp-consultant-india-pvt-ltd-mumbai-3-to-6-years-171125501371
ML/AI Data Scientists,TensorIoT Inc,Bengaluru,3-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-ml-ai-data-scientists-tensoriot-inc-bengaluru-3-to-7-years-131025501081
Data Scientist,ZiniosEdge Software Technologies,Bengaluru,5-10 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-ziniosedge-software-technologies-pvt-ltd-bengaluru-5-to-10-years-050825501904
Data Scientist,Requin Solutions,Bengaluru,3-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-requin-group-bengaluru-3-to-8-years-280625501254
Data Scientist,Ventureit Global Solutions,Jaipur,3-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-ventureit-global-solutions-jaipur-3-to-7-years-270525504087
Data Scientist,Fospe Software,Bengaluru,2-6 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-fospe-software-pvt-ltd-bengaluru-2-to-6-years-260925504026
Data Scientist,Findability Sciences,Nagar,4-9 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-findability-sciences-nagar-4-to-9-years-260525500741
Data Scientist,Som Imaging Informatics,Remote,2-6 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-som-imaging-informatics-pvt-ltd-remote-2-to-6-years-250825500507
Data Scientist,AppVenture.,New Delhi,8-13 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-appventure-new-delhi-8-to-13-years-250225500879
Data Scientists,Insync Analytics,Mumbai,1-2 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientists-insync-analytics-india-private-limited-mumbai-1-to-2-years-240725503974
Data Scientist,Axonotics,Bhubaneswar,3-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-axonotics-private-limited-bhubaneswar-3-to-7-years-200625500632
Data Scientist,Praudyo Solutions Private Limited.,New Delhi,3-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-praudyo-solutions-private-limited-new-delhi-3-to-7-years-190224502238
Data Scientist,A5E Consulting,Mumbai,5-6 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-a5e-consulting-pvt-ltd-mumbai-5-to-6-years-171025502072
Data Scientist,Biocube,Noida,0-3 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-biocube-noida-0-to-3-years-151025503604
Data Engineer,Crisil,"Mumbai, Pune",3-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-engineer-crisil-mumbai-pune-3-to-8-years-141125501771
Data Scientist,Assar Vehicle,Pune,3-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-assar-vehicle-rental-services-private-limited-pune-3-to-8-years-130525501631
Data Scientist,Digital Dogs Content And Media,Mumbai,5-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-digital-dogs-content-and-media-mumbai-5-to-8-years-120724501394
Data Scientist,Sroniyan,Jhansi,5-10 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-sroniyan-jhansi-5-to-10-years-110724502775
Data Scientist/Automation,Environmental Resources Management (ERM),New Delhi,4-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-automation-erm-india-private-limited-new-delhi-4-to-8-years-091025501808
Data Scientist,Zosto Technology,Lucknow,8-13 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-zosto-technology-private-limited-lucknow-8-to-13-years-090425502042
Data Scientist,Diverse Lynx,Bengaluru,4-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-diverse-lynx-bengaluru-4-to-5-years-080925502370
Data Scientist,Bumppy Media,Noida,2-6 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-bumppy-media-pvt-ltd-noida-2-to-6-years-070725500729
Data Scientist,Tattva Foundation,Lucknow,1-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-tattvafoundation-lucknow-1-to-7-years-050925506585
Data Scientist,Vervegen Tech,Dehradun,8-13 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-vervegen-tech-pvt-ltd-dehradun-8-to-13-years-050625501111
Data Scientist,Aisquare,Remote,2-6 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-ai-square-remote-2-to-6-years-040825506537
Data Scientist,Pragya Health Technologies,Bengaluru,2-6 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-pragya-health-technologies-bengaluru-2-to-6-years-040624501636
Data Scientist,Aksvin Technologies,Remote,2-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-aksvin-technologies-remote-2-to-7-years-031025502813
Data Scientist,Zen Data Shastra,Bengaluru,2-6 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-zen-data-shastra-bengaluru-2-to-6-years-021224500821
Data scientist,Inginit,Mumbai,2-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-inginit-mumbai-2-to-5-years-020925501271
Data Scientist,Admini Boosting Productivity,Siliguri,2-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-admini-boosting-productivity-siliguri-2-to-5-years-020725503606
Data Scientist,Zara Inforise,Indore,1-4 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-zara-inforise-indore-1-to-4-years-010725501037
Data Scientist,Soul Ai,Hyderabad,2-4 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-soul-ai-hyderabad-2-to-4-years-281125918523
Data Scientist (Freelancer),Soul Ai,Hyderabad,2-6 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-freelancer-soul-ai-hyderabad-2-to-6-years-261125912544
Data Scientist (Freelancer),Soul Ai,Hyderabad,2-6 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-freelancer-soul-ai-hyderabad-2-to-6-years-261125909358
Data Scientist,Soul Ai,Remote,2-4 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-soul-ai-hyderabad-2-to-4-years-251125909562
Data Scientist Tableau,3Shool Technology Consultants,"Hyderabad, Bengaluru",5-8 Yrs,10-20 Lacs PA,https://www.naukri.com/job-listings-data-scientist-tableau-3shool-technology-consultants-hyderabad-bengaluru-5-to-8-years-031225032701
Data Engineer,Amgen Inc,Hyderabad,4-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-engineer-amgen-inc-hyderabad-4-to-8-years-011225903483
Data Analyst,Virtusa,Hyderabad,6-11 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-virtusa-consulting-services-pvt-ltd-hyderabad-6-to-11-years-191125918847
Data Analyst,Fusion Plus Solutions Inc,Hyderabad,2-4 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-fusion-plus-solutions-inc-hyderabad-2-to-4-years-120924501845
Data Scientist L3,Wipro,Hyderabad,3-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-l3-wipro-limited-hyderabad-3-to-5-years-241125925695
Data Scientist,Infosys,"Hyderabad, Chennai, Bengaluru",5-10 Yrs,10-20 Lacs PA,https://www.naukri.com/job-listings-data-scientist-infosys-hyderabad-chennai-bengaluru-5-to-10-years-191125019495
Data Engineer,Accenture,Hyderabad,2-4 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-engineer-accenture-solutions-pvt-ltd-hyderabad-2-to-4-years-171125923732
Data Engineer,Accenture,Hyderabad,2-4 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-engineer-accenture-solutions-pvt-ltd-hyderabad-2-to-4-years-171125923729
Data Science Engineer / Data Scientist,Leading Client,"Hyderabad, Bengaluru",1-6 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-science-engineer-data-scientist-sun-ai-private-limited-hyderabad-bengaluru-1-to-6-years-171125902878
Data Scientist,Williams-sonoma,Hyderabad,3-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-williams-sonoma-india-pvt-ltd-hyderabad-3-to-5-years-170925501598
Data Engineer,Leading Client,Hyderabad,10-12 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-engineer-zorba-consulting-hyderabad-10-to-12-years-131125914205
Senior Data Scientist - Machine Learning,Leading Client,Hyderabad,5-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-senior-data-scientist-machine-learning-zorba-consulting-hyderabad-5-to-8-years-121125918977
Data Scientist,Heaps Health Solutions India,"Hyderabad, Bengaluru",1-4 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-heaps-health-solutions-india-hyderabad-bengaluru-1-to-4-years-290825501782
Data Scientist,Gurucul Solutions,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5-10 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-gurucul-solutions-private-limited-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-10-years-280825504663
